location,year,total,fatal,severe,light
1.9,2012.0,3.0,0.0,0.0,3.0
1.9,2013.0,1.0,0.0,0.0,1.0
1.9,2014.0,6.0,0.0,1.0,5.0
1.9,2015.0,6.0,1.0,0.0,5.0
1.9,2016.0,5.0,0.0,1.0,4.0
1.9,2017.0,1.0,0.0,0.0,1.0
1.9,2018.0,8.0,1.0,0.0,7.0
1.9,2019.0,7.0,0.0,1.0,6.0
1.9,2020.0,5.0,0.0,0.0,5.0
1.9,2021.0,6.0,0.0,1.0,5.0
1.9,2022.0,2.0,0.0,1.0,1.0
1.0,2003.0,4.0,0.0,3.0,1.0
1.0,2004.0,11.0,0.0,3.0,8.0
1.0,2005.0,5.0,1.0,1.0,3.0
1.0,2006.0,4.0,0.0,1.0,3.0
1.0,2007.0,2.0,1.0,0.0,1.0
1.0,2008.0,3.0,0.0,0.0,3.0
1.0,2009.0,7.0,0.0,1.0,6.0
1.0,2010.0,6.0,0.0,0.0,6.0
1.0,2011.0,2.0,0.0,0.0,2.0
1.0,2012.0,1.0,0.0,0.0,1.0
1.0,2015.0,1.0,0.0,0.0,1.0
1.0,2018.0,1.0,0.0,1.0,0.0
1.0,2019.0,1.0,0.0,0.0,1.0
2.0,2003.0,10.0,0.0,1.0,9.0
2.0,2004.0,16.0,0.0,2.0,14.0
2.0,2005.0,21.0,2.0,2.0,17.0
2.0,2006.0,18.0,0.0,2.0,16.0
2.0,2007.0,20.0,1.0,2.0,17.0
2.0,2008.0,21.0,3.0,3.0,15.0
2.0,2009.0,38.0,0.0,4.0,34.0
2.0,2010.0,37.0,1.0,4.0,32.0
2.0,2011.0,83.0,6.0,9.0,68.0
2.0,2012.0,75.0,5.0,6.0,64.0
2.0,2013.0,59.0,3.0,11.0,45.0
2.0,2014.0,53.0,0.0,11.0,42.0
2.0,2015.0,58.0,3.0,7.0,48.0
2.0,2016.0,42.0,0.0,10.0,32.0
2.0,2017.0,115.0,3.0,27.0,85.0
2.0,2018.0,36.0,0.0,4.0,32.0
2.0,2019.0,29.0,1.0,8.0,20.0
2.0,2020.0,24.0,1.0,9.0,14.0
2.0,2021.0,23.0,1.0,5.0,17.0
2.1,2003.0,39.0,3.0,8.0,28.0
2.1,2004.0,28.0,3.0,5.0,20.0
2.1,2005.0,31.0,2.0,4.0,25.0
2.1,2006.0,36.0,1.0,7.0,28.0
2.1,2007.0,19.0,0.0,3.0,16.0
2.1,2008.0,19.0,1.0,3.0,15.0
2.1,2009.0,16.0,4.0,0.0,12.0
2.1,2010.0,17.0,2.0,3.0,12.0
2.1,2011.0,3.0,0.0,1.0,2.0
2.1,2012.0,2.0,1.0,0.0,1.0
2.1,2013.0,4.0,0.0,0.0,4.0
2.1,2014.0,3.0,0.0,0.0,3.0
2.1,2015.0,4.0,0.0,0.0,4.0
2.1,2016.0,7.0,0.0,1.0,6.0
2.1,2017.0,4.0,0.0,1.0,3.0
2.1,2018.0,6.0,0.0,1.0,5.0
2.1,2019.0,7.0,0.0,1.0,6.0
2.1,2020.0,10.0,1.0,2.0,7.0
2.1,2021.0,9.0,0.0,1.0,8.0
